FID	IID	fraction_extreme_F
line_21	line_21	0.2686567
line_26	line_26	0.3623188
line_28	line_28	0.2876712
line_31	line_31	0.3809524
line_32	line_32	0.3600000
line_38	line_38	0.3013699
line_40	line_40	0.2678571
line_41	line_41	0.3333333
line_42	line_42	0.4861111
line_45	line_45	0.3239437
line_48	line_48	0.4230769
line_49	line_49	0.2173913
line_57	line_57	0.1323529
line_59	line_59	0.3835616
line_69	line_69	0.2608696
line_73	line_73	0.3750000
line_75	line_75	0.4246575
line_83	line_83	0.3108108
line_85	line_85	0.3561644
line_88	line_88	0.1230769
line_91	line_91	0.1594203
line_93	line_93	0.4084507
line_100	line_100	0.4400000
line_101	line_101	0.4324324
line_105	line_105	0.3055556
line_109	line_109	0.4571429
line_129	line_129	0.2328767
line_136	line_136	0.3243243
line_138	line_138	0.2816901
line_142	line_142	0.2463768
line_149	line_149	0.2222222
line_153	line_153	0.1791045
line_158	line_158	0.2112676
line_161	line_161	0.3870968
line_176	line_176	0.2428571
line_177	line_177	0.4328358
line_181	line_181	0.2318841
line_189	line_189	0.4000000
line_195	line_195	0.2205882
line_208	line_208	0.4250000
line_217	line_217	0.3243243
line_223	line_223	0.3333333
line_227	line_227	0.1515152
line_228	line_228	0.2608696
line_229	line_229	0.3857143
line_233	line_233	0.2950820
line_235	line_235	0.5303030
line_237	line_237	0.3333333
line_239	line_239	0.2533333
line_256	line_256	0.2372881
line_280	line_280	0.1746032
line_287	line_287	0.2272727
line_301	line_301	0.3289474
line_303	line_303	0.2463768
line_304	line_304	0.4864865
line_306	line_306	0.3333333
line_307	line_307	0.4927536
line_309	line_309	0.3194444
line_310	line_310	0.2459016
line_313	line_313	0.4000000
line_315	line_315	0.3947368
line_317	line_317	0.2205882
line_318	line_318	0.3750000
line_319	line_319	0.3181818
line_320	line_320	0.5192308
line_321	line_321	0.1754386
line_324	line_324	0.3289474
line_325	line_325	0.4385965
line_332	line_332	0.2608696
line_335	line_335	0.4078947
line_336	line_336	0.2542373
line_338	line_338	0.2676056
line_340	line_340	0.2641509
line_348	line_348	0.3333333
line_350	line_350	0.3380282
line_352	line_352	0.2835821
line_354	line_354	0.0800000
line_355	line_355	0.1052632
line_356	line_356	0.4264706
line_357	line_357	0.3835616
line_358	line_358	0.3733333
line_359	line_359	0.3571429
line_360	line_360	0.3506494
line_361	line_361	0.2000000
line_362	line_362	0.3287671
line_365	line_365	0.2750000
line_367	line_367	0.2857143
line_370	line_370	0.1369863
line_371	line_371	0.4032258
line_373	line_373	0.2876712
line_374	line_374	0.3714286
line_375	line_375	0.4411765
line_377	line_377	0.3623188
line_379	line_379	0.4250000
line_380	line_380	0.3461538
line_381	line_381	0.2424242
line_382	line_382	0.5090909
line_383	line_383	0.1428571
line_385	line_385	0.2592593
line_386	line_386	0.5000000
line_390	line_390	0.4347826
line_391	line_391	0.2933333
line_392	line_392	0.2028986
line_395	line_395	0.1904762
line_397	line_397	0.5652174
line_399	line_399	0.3866667
line_405	line_405	0.2830189
line_406	line_406	0.3214286
line_409	line_409	0.4153846
line_426	line_426	0.3134328
line_427	line_427	0.3205128
line_437	line_437	0.2375000
line_439	line_439	0.2608696
line_440	line_440	0.3066667
line_441	line_441	0.2500000
line_443	line_443	0.1866667
line_461	line_461	0.4545455
line_486	line_486	0.3157895
line_491	line_491	0.3235294
line_492	line_492	0.3529412
line_502	line_502	0.4057971
line_505	line_505	0.1428571
line_508	line_508	0.3283582
line_509	line_509	0.2962963
line_513	line_513	0.2641509
line_517	line_517	0.3108108
line_528	line_528	0.1200000
line_530	line_530	0.1627907
line_531	line_531	0.2500000
line_535	line_535	0.2394366
line_551	line_551	0.1000000
line_555	line_555	0.2278481
line_559	line_559	0.1500000
line_563	line_563	0.3606557
line_566	line_566	0.2692308
line_584	line_584	0.4310345
line_589	line_589	0.2567568
line_595	line_595	0.2388060
line_596	line_596	0.4210526
line_627	line_627	0.1153846
line_630	line_630	0.2500000
line_634	line_634	0.3500000
line_639	line_639	0.2602740
line_642	line_642	0.2388060
line_646	line_646	0.3833333
line_703	line_703	0.2714286
line_705	line_705	0.4714286
line_707	line_707	0.3243243
line_712	line_712	0.2837838
line_714	line_714	0.3291139
line_716	line_716	0.2898551
line_721	line_721	0.2916667
line_727	line_727	0.3571429
line_730	line_730	0.3333333
line_732	line_732	0.4155844
line_737	line_737	0.2000000
line_738	line_738	0.2500000
line_748	line_748	0.1967213
line_757	line_757	0.6166667
line_761	line_761	0.3287671
line_765	line_765	0.4305556
line_774	line_774	0.4230769
line_776	line_776	0.2285714
line_783	line_783	0.2173913
line_786	line_786	0.3200000
line_787	line_787	0.3333333
line_790	line_790	0.3194444
line_796	line_796	0.2957746
line_799	line_799	0.2923077
line_801	line_801	0.3287671
line_802	line_802	0.2500000
line_804	line_804	0.3768116
line_805	line_805	0.3000000
line_808	line_808	0.3888889
line_810	line_810	0.3230769
line_812	line_812	0.2428571
line_818	line_818	0.2380952
line_819	line_819	0.2982456
line_820	line_820	0.2285714
line_821	line_821	0.5471698
line_822	line_822	0.4000000
line_832	line_832	0.3934426
line_837	line_837	0.2388060
line_843	line_843	0.3448276
line_849	line_849	0.3833333
line_850	line_850	0.4107143
line_852	line_852	0.4583333
line_853	line_853	0.3125000
line_855	line_855	0.3287671
line_857	line_857	0.2816901
line_859	line_859	0.2884615
line_861	line_861	0.2153846
line_879	line_879	0.1000000
line_882	line_882	0.3561644
line_884	line_884	0.3432836
line_887	line_887	0.5272727
line_890	line_890	0.1408451
line_892	line_892	0.3561644
line_894	line_894	0.2638889
line_897	line_897	0.2923077
line_900	line_900	0.3166667
line_907	line_907	0.2676056
line_908	line_908	0.3382353
line_911	line_911	0.3968254
line_913	line_913	0.5079365
