FID	IID	high_extreme_M
line_21	line_21	0.03703704
line_26	line_26	0.17721519
line_28	line_28	0.08750000
line_31	line_31	0.27777778
line_32	line_32	0.04545455
line_38	line_38	0.13924051
line_40	line_40	0.04347826
line_41	line_41	0.21428571
line_42	line_42	0.15384615
line_45	line_45	0.16883117
line_48	line_48	0.17391304
line_49	line_49	0.12820513
line_57	line_57	0.18666667
line_59	line_59	0.12345679
line_69	line_69	0.11688312
line_73	line_73	0.14102564
line_75	line_75	0.16455696
line_83	line_83	0.13750000
line_85	line_85	0.17283951
line_88	line_88	0.17808219
line_91	line_91	0.10000000
line_93	line_93	0.17741935
line_100	line_100	0.18181818
line_101	line_101	0.25316456
line_105	line_105	0.26923077
line_109	line_109	0.14864865
line_129	line_129	0.20967742
line_136	line_136	0.33333333
line_138	line_138	0.12658228
line_142	line_142	0.17333333
line_149	line_149	0.18840580
line_153	line_153	0.25333333
line_158	line_158	0.10389610
line_161	line_161	0.24324324
line_176	line_176	0.10526316
line_177	line_177	0.08000000
line_181	line_181	0.21917808
line_189	line_189	0.13513514
line_195	line_195	0.13333333
line_208	line_208	0.20930233
line_217	line_217	0.22500000
line_223	line_223	0.15789474
line_227	line_227	0.11111111
line_228	line_228	0.11842105
line_229	line_229	0.21518987
line_233	line_233	0.22535211
line_235	line_235	0.12328767
line_237	line_237	0.21333333
line_239	line_239	0.14814815
line_256	line_256	0.14285714
line_280	line_280	0.09589041
line_287	line_287	0.20270270
line_301	line_301	0.28813559
line_303	line_303	0.11111111
line_304	line_304	0.23214286
line_306	line_306	0.25925926
line_307	line_307	0.23809524
line_309	line_309	0.06578947
line_310	line_310	0.08219178
line_313	line_313	0.23214286
line_315	line_315	0.21686747
line_317	line_317	0.10416667
line_318	line_318	0.08750000
line_319	line_319	0.27586207
line_320	line_320	0.07142857
line_321	line_321	0.13043478
line_324	line_324	0.16867470
line_325	line_325	0.12676056
line_332	line_332	0.07792208
line_335	line_335	0.12727273
line_336	line_336	0.11267606
line_338	line_338	0.16666667
line_340	line_340	0.12121212
line_348	line_348	0.05555556
line_350	line_350	0.25316456
line_352	line_352	0.17333333
line_354	line_354	0.09090909
line_356	line_356	0.14666667
line_357	line_357	0.22352941
line_358	line_358	0.29761905
line_359	line_359	0.18181818
line_360	line_360	0.10714286
line_361	line_361	0.09756098
line_362	line_362	0.23809524
line_365	line_365	0.12790698
line_367	line_367	0.09589041
line_370	line_370	0.12345679
line_371	line_371	0.13333333
line_373	line_373	0.20253165
line_374	line_374	0.13513514
line_375	line_375	0.22619048
line_377	line_377	0.21333333
line_379	line_379	0.17441860
line_380	line_380	0.09523810
line_381	line_381	0.10958904
line_382	line_382	0.08333333
line_383	line_383	0.10000000
line_385	line_385	0.19444444
line_386	line_386	0.13559322
line_390	line_390	0.21739130
line_391	line_391	0.11904762
line_392	line_392	0.16000000
line_395	line_395	0.05555556
line_397	line_397	0.08695652
line_399	line_399	0.22352941
line_405	line_405	0.11904762
line_406	line_406	0.15555556
line_409	line_409	0.06521739
line_426	line_426	0.12676056
line_427	line_427	0.12195122
line_437	line_437	0.15116279
line_439	line_439	0.04878049
line_440	line_440	0.13580247
line_441	line_441	0.15277778
line_443	line_443	0.18518519
line_461	line_461	0.02739726
line_486	line_486	0.13580247
line_491	line_491	0.17808219
line_492	line_492	0.15789474
line_502	line_502	0.09459459
line_508	line_508	0.14864865
line_509	line_509	0.13043478
line_513	line_513	0.07142857
line_517	line_517	0.10344828
line_530	line_530	0.18181818
line_531	line_531	0.11904762
line_535	line_535	0.07692308
line_555	line_555	0.15294118
line_563	line_563	0.20000000
line_566	line_566	0.21739130
line_584	line_584	0.27777778
line_589	line_589	0.17283951
line_595	line_595	0.09459459
line_596	line_596	0.06250000
line_627	line_627	0.17391304
line_630	line_630	0.11764706
line_634	line_634	0.05882353
line_639	line_639	0.07058824
line_642	line_642	0.19178082
line_646	line_646	0.12676056
line_703	line_703	0.02564103
line_705	line_705	0.32142857
line_707	line_707	0.20238095
line_712	line_712	0.14634146
line_714	line_714	0.15476190
line_716	line_716	0.18181818
line_721	line_721	0.21518987
line_727	line_727	0.13559322
line_730	line_730	0.17441860
line_732	line_732	0.12941176
line_737	line_737	0.17283951
line_738	line_738	0.11392405
line_748	line_748	0.15000000
line_757	line_757	0.12765957
line_761	line_761	0.15384615
line_765	line_765	0.14285714
line_774	line_774	0.23255814
line_776	line_776	0.17500000
line_783	line_783	0.13157895
line_786	line_786	0.12048193
line_787	line_787	0.06329114
line_790	line_790	0.21518987
line_796	line_796	0.18750000
line_799	line_799	0.24050633
line_801	line_801	0.06250000
line_802	line_802	0.15189873
line_804	line_804	0.13157895
line_805	line_805	0.11666667
line_808	line_808	0.18518519
line_810	line_810	0.19178082
line_812	line_812	0.17721519
line_818	line_818	0.10958904
line_819	line_819	0.23684211
line_820	line_820	0.12500000
line_821	line_821	0.35483871
line_822	line_822	0.12345679
line_832	line_832	0.16216216
line_837	line_837	0.24324324
line_843	line_843	0.30555556
line_849	line_849	0.17073171
line_850	line_850	0.08333333
line_852	line_852	0.23456790
line_853	line_853	0.17142857
line_855	line_855	0.18518519
line_857	line_857	0.19736842
line_859	line_859	0.26190476
line_861	line_861	0.20000000
line_879	line_879	0.20779221
line_882	line_882	0.22222222
line_884	line_884	0.10810811
line_887	line_887	0.02325581
line_890	line_890	0.06250000
line_892	line_892	0.20512821
line_894	line_894	0.23376623
line_897	line_897	0.27397260
line_900	line_900	0.10000000
line_907	line_907	0.08974359
line_908	line_908	0.24000000
line_911	line_911	0.16455696
line_913	line_913	0.36585366
