FID	IID	mediocre_F
line_21	line_21	0.7313433
line_26	line_26	0.6376812
line_28	line_28	0.7123288
line_31	line_31	0.6190476
line_32	line_32	0.6400000
line_38	line_38	0.6986301
line_40	line_40	0.7321429
line_41	line_41	0.6666667
line_42	line_42	0.5138889
line_45	line_45	0.6760563
line_48	line_48	0.5769231
line_49	line_49	0.7826087
line_57	line_57	0.8676471
line_59	line_59	0.6164384
line_69	line_69	0.7391304
line_73	line_73	0.6250000
line_75	line_75	0.5753425
line_83	line_83	0.6891892
line_85	line_85	0.6438356
line_88	line_88	0.8769231
line_91	line_91	0.8405797
line_93	line_93	0.5915493
line_100	line_100	0.5600000
line_101	line_101	0.5675676
line_105	line_105	0.6944444
line_109	line_109	0.5428571
line_129	line_129	0.7671233
line_136	line_136	0.6756757
line_138	line_138	0.7183099
line_142	line_142	0.7536232
line_149	line_149	0.7777778
line_153	line_153	0.8208955
line_158	line_158	0.7887324
line_161	line_161	0.6129032
line_176	line_176	0.7571429
line_177	line_177	0.5671642
line_181	line_181	0.7681159
line_189	line_189	0.6000000
line_195	line_195	0.7794118
line_208	line_208	0.5750000
line_217	line_217	0.6756757
line_223	line_223	0.6666667
line_227	line_227	0.8484848
line_228	line_228	0.7391304
line_229	line_229	0.6142857
line_233	line_233	0.7049180
line_235	line_235	0.4696970
line_237	line_237	0.6666667
line_239	line_239	0.7466667
line_256	line_256	0.7627119
line_280	line_280	0.8253968
line_287	line_287	0.7727273
line_301	line_301	0.6710526
line_303	line_303	0.7536232
line_304	line_304	0.5135135
line_306	line_306	0.6666667
line_307	line_307	0.5072464
line_309	line_309	0.6805556
line_310	line_310	0.7540984
line_313	line_313	0.6000000
line_315	line_315	0.6052632
line_317	line_317	0.7794118
line_318	line_318	0.6250000
line_319	line_319	0.6818182
line_320	line_320	0.4807692
line_321	line_321	0.8245614
line_324	line_324	0.6710526
line_325	line_325	0.5614035
line_332	line_332	0.7391304
line_335	line_335	0.5921053
line_336	line_336	0.7457627
line_338	line_338	0.7323944
line_340	line_340	0.7358491
line_348	line_348	0.6666667
line_350	line_350	0.6619718
line_352	line_352	0.7164179
line_354	line_354	0.9200000
line_355	line_355	0.8947368
line_356	line_356	0.5735294
line_357	line_357	0.6164384
line_358	line_358	0.6266667
line_359	line_359	0.6428571
line_360	line_360	0.6493506
line_361	line_361	0.8000000
line_362	line_362	0.6712329
line_365	line_365	0.7250000
line_367	line_367	0.7142857
line_370	line_370	0.8630137
line_371	line_371	0.5967742
line_373	line_373	0.7123288
line_374	line_374	0.6285714
line_375	line_375	0.5588235
line_377	line_377	0.6376812
line_379	line_379	0.5750000
line_380	line_380	0.6538462
line_381	line_381	0.7575758
line_382	line_382	0.4909091
line_383	line_383	0.8571429
line_385	line_385	0.7407407
line_386	line_386	0.5000000
line_390	line_390	0.5652174
line_391	line_391	0.7066667
line_392	line_392	0.7971014
line_395	line_395	0.8095238
line_397	line_397	0.4347826
line_399	line_399	0.6133333
line_405	line_405	0.7169811
line_406	line_406	0.6785714
line_409	line_409	0.5846154
line_426	line_426	0.6865672
line_427	line_427	0.6794872
line_437	line_437	0.7625000
line_439	line_439	0.7391304
line_440	line_440	0.6933333
line_441	line_441	0.7500000
line_443	line_443	0.8133333
line_461	line_461	0.5454545
line_486	line_486	0.6842105
line_491	line_491	0.6764706
line_492	line_492	0.6470588
line_502	line_502	0.5942029
line_505	line_505	0.8571429
line_508	line_508	0.6716418
line_509	line_509	0.7037037
line_513	line_513	0.7358491
line_517	line_517	0.6891892
line_528	line_528	0.8800000
line_530	line_530	0.8372093
line_531	line_531	0.7500000
line_535	line_535	0.7605634
line_551	line_551	0.9000000
line_555	line_555	0.7721519
line_559	line_559	0.8500000
line_563	line_563	0.6393443
line_566	line_566	0.7307692
line_584	line_584	0.5689655
line_589	line_589	0.7432432
line_595	line_595	0.7611940
line_596	line_596	0.5789474
line_627	line_627	0.8846154
line_630	line_630	0.7500000
line_634	line_634	0.6500000
line_639	line_639	0.7397260
line_642	line_642	0.7611940
line_646	line_646	0.6166667
line_703	line_703	0.7285714
line_705	line_705	0.5285714
line_707	line_707	0.6756757
line_712	line_712	0.7162162
line_714	line_714	0.6708861
line_716	line_716	0.7101449
line_721	line_721	0.7083333
line_727	line_727	0.6428571
line_730	line_730	0.6666667
line_732	line_732	0.5844156
line_737	line_737	0.8000000
line_738	line_738	0.7500000
line_748	line_748	0.8032787
line_757	line_757	0.3833333
line_761	line_761	0.6712329
line_765	line_765	0.5694444
line_774	line_774	0.5769231
line_776	line_776	0.7714286
line_783	line_783	0.7826087
line_786	line_786	0.6800000
line_787	line_787	0.6666667
line_790	line_790	0.6805556
line_796	line_796	0.7042254
line_799	line_799	0.7076923
line_801	line_801	0.6712329
line_802	line_802	0.7500000
line_804	line_804	0.6231884
line_805	line_805	0.7000000
line_808	line_808	0.6111111
line_810	line_810	0.6769231
line_812	line_812	0.7571429
line_818	line_818	0.7619048
line_819	line_819	0.7017544
line_820	line_820	0.7714286
line_821	line_821	0.4528302
line_822	line_822	0.6000000
line_832	line_832	0.6065574
line_837	line_837	0.7611940
line_843	line_843	0.6551724
line_849	line_849	0.6166667
line_850	line_850	0.5892857
line_852	line_852	0.5416667
line_853	line_853	0.6875000
line_855	line_855	0.6712329
line_857	line_857	0.7183099
line_859	line_859	0.7115385
line_861	line_861	0.7846154
line_879	line_879	0.9000000
line_882	line_882	0.6438356
line_884	line_884	0.6567164
line_887	line_887	0.4727273
line_890	line_890	0.8591549
line_892	line_892	0.6438356
line_894	line_894	0.7361111
line_897	line_897	0.7076923
line_900	line_900	0.6833333
line_907	line_907	0.7323944
line_908	line_908	0.6617647
line_911	line_911	0.6031746
line_913	line_913	0.4920635
