FID	IID	mediocre_M
line_21	line_21	0.6790123
line_26	line_26	0.5949367
line_28	line_28	0.7625000
line_31	line_31	0.5000000
line_32	line_32	0.5454545
line_38	line_38	0.7215190
line_40	line_40	0.7391304
line_41	line_41	0.7619048
line_42	line_42	0.4871795
line_45	line_45	0.6623377
line_48	line_48	0.7391304
line_49	line_49	0.7820513
line_57	line_57	0.6933333
line_59	line_59	0.7901235
line_69	line_69	0.7272727
line_73	line_73	0.7051282
line_75	line_75	0.7974684
line_83	line_83	0.7125000
line_85	line_85	0.7654321
line_88	line_88	0.6164384
line_91	line_91	0.7625000
line_93	line_93	0.6935484
line_100	line_100	0.7272727
line_101	line_101	0.5949367
line_105	line_105	0.6730769
line_109	line_109	0.7027027
line_129	line_129	0.6129032
line_136	line_136	0.6419753
line_138	line_138	0.6455696
line_142	line_142	0.6933333
line_149	line_149	0.7391304
line_153	line_153	0.6000000
line_158	line_158	0.7532468
line_161	line_161	0.6351351
line_176	line_176	0.6973684
line_177	line_177	0.6400000
line_181	line_181	0.6849315
line_189	line_189	0.5675676
line_195	line_195	0.7200000
line_208	line_208	0.6627907
line_217	line_217	0.6500000
line_223	line_223	0.6578947
line_227	line_227	0.8000000
line_228	line_228	0.6578947
line_229	line_229	0.6455696
line_233	line_233	0.6338028
line_235	line_235	0.6438356
line_237	line_237	0.7466667
line_239	line_239	0.7777778
line_256	line_256	0.6857143
line_280	line_280	0.8356164
line_287	line_287	0.6216216
line_301	line_301	0.6440678
line_303	line_303	0.7777778
line_304	line_304	0.6071429
line_306	line_306	0.5925926
line_307	line_307	0.6190476
line_309	line_309	0.7763158
line_310	line_310	0.7808219
line_313	line_313	0.6428571
line_315	line_315	0.6746988
line_317	line_317	0.7916667
line_318	line_318	0.6875000
line_319	line_319	0.6206897
line_320	line_320	0.6666667
line_321	line_321	0.7391304
line_324	line_324	0.6987952
line_325	line_325	0.6338028
line_332	line_332	0.7532468
line_335	line_335	0.4727273
line_336	line_336	0.7605634
line_338	line_338	0.7307692
line_340	line_340	0.6666667
line_348	line_348	0.7777778
line_350	line_350	0.5822785
line_352	line_352	0.4266667
line_354	line_354	0.8636364
line_355	line_355	0.8125000
line_356	line_356	0.6933333
line_357	line_357	0.6235294
line_358	line_358	0.5357143
line_359	line_359	0.7402597
line_360	line_360	0.6904762
line_361	line_361	0.7560976
line_362	line_362	0.6547619
line_365	line_365	0.6511628
line_367	line_367	0.6712329
line_370	line_370	0.7037037
line_371	line_371	0.7555556
line_373	line_373	0.7088608
line_374	line_374	0.6891892
line_375	line_375	0.6666667
line_377	line_377	0.6933333
line_379	line_379	0.5697674
line_380	line_380	0.5833333
line_381	line_381	0.7397260
line_382	line_382	0.7500000
line_383	line_383	0.8125000
line_385	line_385	0.7500000
line_386	line_386	0.6610169
line_390	line_390	0.6086957
line_391	line_391	0.7142857
line_392	line_392	0.5866667
line_395	line_395	0.7777778
line_397	line_397	0.5652174
line_399	line_399	0.6117647
line_405	line_405	0.7380952
line_406	line_406	0.6666667
line_409	line_409	0.5869565
line_426	line_426	0.7042254
line_427	line_427	0.7439024
line_437	line_437	0.6976744
line_439	line_439	0.7560976
line_440	line_440	0.7654321
line_441	line_441	0.7361111
line_443	line_443	0.6419753
line_461	line_461	0.6164384
line_486	line_486	0.6172840
line_491	line_491	0.6438356
line_492	line_492	0.6184211
line_502	line_502	0.7162162
line_505	line_505	0.8333333
line_508	line_508	0.6081081
line_509	line_509	0.7101449
line_513	line_513	0.7380952
line_517	line_517	0.6551724
line_528	line_528	1.0000000
line_530	line_530	0.7575758
line_531	line_531	0.7142857
line_535	line_535	0.8076923
line_551	line_551	0.9411765
line_555	line_555	0.6705882
line_559	line_559	0.6470588
line_563	line_563	0.6133333
line_566	line_566	0.6956522
line_584	line_584	0.5833333
line_589	line_589	0.7283951
line_595	line_595	0.7432432
line_596	line_596	0.7500000
line_627	line_627	0.6521739
line_630	line_630	0.8235294
line_634	line_634	0.7647059
line_639	line_639	0.7176471
line_642	line_642	0.6301370
line_646	line_646	0.6760563
line_703	line_703	0.8205128
line_705	line_705	0.5892857
line_707	line_707	0.7142857
line_712	line_712	0.6951220
line_714	line_714	0.6190476
line_716	line_716	0.6883117
line_721	line_721	0.7215190
line_727	line_727	0.6949153
line_730	line_730	0.6744186
line_732	line_732	0.6000000
line_737	line_737	0.7160494
line_738	line_738	0.7088608
line_748	line_748	0.7500000
line_757	line_757	0.5957447
line_761	line_761	0.6538462
line_765	line_765	0.4761905
line_774	line_774	0.5813953
line_776	line_776	0.7125000
line_783	line_783	0.8552632
line_786	line_786	0.6385542
line_787	line_787	0.8101266
line_790	line_790	0.5949367
line_796	line_796	0.7125000
line_799	line_799	0.6582278
line_801	line_801	0.8375000
line_802	line_802	0.6835443
line_804	line_804	0.7236842
line_805	line_805	0.7833333
line_808	line_808	0.7407407
line_810	line_810	0.6849315
line_812	line_812	0.7721519
line_818	line_818	0.8082192
line_819	line_819	0.6578947
line_820	line_820	0.7375000
line_821	line_821	0.6129032
line_822	line_822	0.7037037
line_832	line_832	0.6891892
line_837	line_837	0.6891892
line_843	line_843	0.4722222
line_849	line_849	0.6097561
line_850	line_850	0.7500000
line_852	line_852	0.5432099
line_853	line_853	0.7285714
line_855	line_855	0.6419753
line_857	line_857	0.6447368
line_859	line_859	0.6428571
line_861	line_861	0.5733333
line_879	line_879	0.5974026
line_882	line_882	0.6507937
line_884	line_884	0.8108108
line_887	line_887	0.7674419
line_890	line_890	0.7250000
line_892	line_892	0.6025641
line_894	line_894	0.5844156
line_897	line_897	0.5616438
line_900	line_900	0.8500000
line_907	line_907	0.7179487
line_908	line_908	0.5866667
line_911	line_911	0.6708861
line_913	line_913	0.5365854
